"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05132","Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","180/5608","251/9447",0.717131474103586,1.20804940011708,4.03759509734132,2.52741130750905e-05,0.000350804689482257,0.000166011016409016,"TUBB3/ARHGEF26/RHOJ/NLRC4/TUBB1/PAK1/MYL9/GAPDH/AHNAK/TUBB2B/WASF3/IRAK1/IL6/TLR4/RRAS/KIF5A/HSP90B1/PODXL/AHNAK2/TUBB6/CASP3/TRAF2/NCKAP1L/TUBB8/FOS/RHOA/ACTR3B/JUN/PFN4/NFKBIA/RILP/TUBA1A/TUBA1C/CYTH1/BAK1/PFN2/HSP90AB1/TUBB4A/CSE1L/TUBA4A/MYD88/CASP1/CASP5/DYNLRB2/KLC3/ARPC1A/FBXO22/TUBA3D/TUBB2A/VPS33A/SNX9/KLC2/AKT3/KPNA3/ELMO1/TUBB/ACBD3/ARPC2/LEF1/VPS39/PAK3/DCTN5/TRAF6/MAPK13/TUBAL3/TNFRSF10A/FADD/FYCO1/TXN/DYNC1LI1/CASP8/ARPC5L/RAB5B/CYCS/NLRP3/KIF5C/RALA/DCTN1/RHOG/MYL12A/ACTR1A/IL1B/ARL8B/PTPRC/DYNC2H1/ARF1/MAPK3/MAP2K6/PLEKHM2/TRADD/RHOB/SNX33/TLR6/IKBKB/MAPK10/MAP2K3/TUBA8/FLNA/DNM2/PIK3C2G/MYL11/NCKAP1/PIK3CG/DCTN6/DYNC1I1/TLR5/DCTN3/PIK3C2A/ARPC5/TNFSF10/MAPK11/MAPK12/DYNC2LI1/RAB7A/PIK3C3/TUBB8B/NOD1/TAB2/STX10/IRAK4/RIPK1/ARPC1B/DYNLT1/TCF7L2/TNFRSF10B/MYO6/NFKB1/PKN1/DYNC1LI2/ACTG1/M6PR/ACTR3/PLEKHM1/MYL12B/VPS16/MAP3K7/TLR2/CYFIP1/MAPK1/ARPC3/ANXA2/RAB5A/MAP2K4/CDC42/DCTN4/HSP90AA1/BRK1/PIK3C2B/MYL5/RAC1/ACTR3C/IL18/RAB5C/RHOH/TCF7L1/BAX/CD14/AKT2/DYNLT3/RIPK2/CASP7/PYCARD/RPS3/DCTN2/ROCK2/CYTH2/WASL/CYTH4/CYFIP2/VPS11/PIK3CA/RAF1/CTNNB1/EXOC4/MYC/TAB1/MAP2K2/BIRC3/HRAS/RAB9B",180
"hsa04928","Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","89/5608","115/9447",0.773913043478261,1.30370123426161,3.96029036407168,3.19017702452178e-05,0.000424224278205141,0.000200755308357355,"CYP24A1/MMP13/HBEGF/ADCY4/TNFSF11/GNAQ/CYP27B1/STK39/MMP17/MEF2A/JUND/RUNX2/PTH1R/ARRB1/CREB3L4/ARRB2/KL/GNAI2/EGR1/PTHLH/ADCY9/WNK2/GCM1/FOS/AKAP13/SGK1/RHOA/GNA11/RXRG/RXRA/MMP14/PRKCG/CDKN1A/ADCY8/WNK3/NHERF1/MMP15/CREB3L2/SLC34A3/BGLAP/PDE4B/PRKACA/MMP16/MMP25/PDE4C/ATF6B/VDR/PLCB1/MAPK3/PRKCB/ITPR1/NACA/PLCB3/NR4A2/GNAS/SLC34A1/GATA3/CASR/ATF2/MAFB/SLC34A2/WNK4/MEF2C/PDE4A/PLCB2/CREB5/MAPK1/SOST/FGFR1/OXSR1/PLCB4/ADCY7/MEF2D/SLC12A3/CREB3L1/PLD1/GNA12/GNAI1/CREB3/CREB3L3/WNK1/LRP5/ARAF/PRKCA/MMP24/EGFR/GNA13/RAF1/ITPR3",89
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","71/5608","89/9447",0.797752808988764,1.34386069659716,3.93917194847976,3.30088055087574e-05,0.000424224278205141,0.000200755308357355,"SPP1/HMMR/VWF/TNR/COL1A1/THBS2/CD36/ITGA11/IBSP/ITGA8/TNXB/COL6A6/GP9/COMP/LAMB2/LAMC3/NPNT/COL9A2/ITGB4/COL1A2/COL9A3/ITGA2/COL2A1/COL6A3/CD44/ITGAV/COL9A1/DMP1/FRAS1/LAMA4/COL6A5/THBS3/TNC/COL4A4/COL4A3/SDC1/ITGA1/SV2A/LAMB3/THBS4/ITGB8/SDC4/ITGA10/CD47/LAMA2/ITGB3/CHAD/COL4A5/THBS1/MEPE/ITGA5/FREM1/LAMC2/AGRN/FREM2/ITGA9/GP5/LAMB4/LAMA3/LAMA1/RELN/COL4A2/COL4A6/ITGB5/VTN/GP6/ITGA4/SV2B/GP1BA/COL6A1/ITGB7",71
"hsa04611","Organismal Systems","Immune system","hsa04611","Platelet activation","96/5608","126/9447",0.761904761904762,1.2834725901773,3.87154229063442,4.85396856731894e-05,0.000601545390307026,0.000284668833271337,"FGB/VWF/ADCY4/COL1A1/GNAQ/PRKG2/COL3A1/P2RY1/PLA2G4F/RAP1A/GP9/PTGIR/F2RL3/TLN1/GUCY1A2/PLA2G4A/GNAI2/BTK/F2/PIK3R1/PIK3R5/ADCY9/PRKG1/MYLK/RHOA/FGA/FCER1G/COL1A2/TBXA2R/ITGA2/P2RX1/FERMT3/ADCY8/RASGRP2/AKT3/PLA2G4C/PLA2G4D/MAPK13/PRKCZ/PIK3R3/MYLK3/FYN/PRKACA/SRC/ARHGAP35/FCGR2A/P2RY12/APBB1IP/TBXAS1/MYL12A/PIK3R2/ITGB3/PLCB1/ORAI1/MAPK3/SNAP23/PLCG2/MYLK2/GUCY1A1/LCP2/ROCK1/PPP1CA/ITPR1/PIK3CG/PLCB3/GNAS/MAPK11/MAPK12/GP5/GUCY1B1/SYK/PTGS1/ACTG1/PPP1CC/PLCB2/RASGRP1/ADAMTS13/MYL12B/F2R/ARHGEF12/MAPK1/RAP1B/FGG/PLCB4/ADCY7/VASP/AKT2/LYN/GNAI1/GP6/STIM1/ROCK2/GP1BA/PIK3CA/GNA13/ITPR3",96
"hsa04550","Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","108/5608","144/9447",0.75,1.26341833095578,3.84976878056434,5.45237825147792e-05,0.000652405259745806,0.000308737207706191,"OTX1/ONECUT1/BMPR2/WNT3A/WNT3/TBX3/DUSP9/KLF4/FZD4/FGFR4/FGF2/TCF3/ID4/LHX5/INHBE/LIFR/PIK3R1/FGFR2/JAK3/DLX5/PCGF3/WNT9A/ID3/MEIS1/ISL1/SETDB1/WNT2B/FZD9/SMAD9/HOXA1/LEFTY2/PCGF1/APC/WNT10A/WNT6/ID2/BMPR1A/AKT3/WNT7A/JAK2/FZD3/AXIN1/ACVR1B/JAK1/IL6ST/MAPK13/DVL3/WNT16/PIK3R3/FZD5/WNT2/WNT10B/KRAS/ACVR2B/SMAD4/WNT8B/SOX2/AXIN2/ZIC3/PIK3R2/SMAD1/MAPK3/HESX1/INHBB/WNT11/HOXD1/DVL1/WNT5B/PCGF5/POU5F1/RIF1/ACVR1/ID1/INHBC/PCGF6/GRB2/FZD10/STAT3/PCGF2/WNT1/WNT7B/MAPK11/MAPK12/SMARCAD1/PAX6/LIF/FZD7/WNT9B/HOXB1/ACVR1C/GSK3B/MAPK1/FGFR1/FZD8/JARID2/DVL2/AKT2/FZD6/KAT6A/INHBA/NRAS/PIK3CA/RAF1/CTNNB1/MYC/MAP2K2/HRAS/REST",108
"hsa05020","Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","196/5608","278/9447",0.705035971223022,1.18767382670183,3.83869880997459,6.07771404903554e-05,0.000698794907311064,0.000330690142698395,"TUBB3/CAV1/COX7A1/COX4I2/TUBB1/CASP12/CAV2/GRIN1/TUBB2B/IL6/NCF2/CREB3L4/COX6B2/PPIF/KIF5A/HSPA5/EGR1/NDUFA13/GRIN2D/PPP3CC/CAV3/CACNA1S/PIK3R1/STIP1/C1QA/SEM1/TUBB6/CASP3/PSMD4/C1QB/PSMD11/NOTCH1/PSMB4/TUBB8/PSMD14/PSMC4/TUBA1A/NCF1/COX7B2/NDUFS6/TUBA1C/SDHA/CYBB/PSMA6/NDUFS2/TUBB4A/VDAC1/UQCRH/UQCRHL/PSMB3/TUBA4A/C7/CYC1/C8B/NDUFS8/PSMA5/NDUFV2/KLC3/PSMB2/PSMD3/TUBA3D/TUBB2A/PSMB5/CREB3L2/PSMC6/KLC2/PRNP/C1QC/C8G/PSMD12/TUBB/PSMA1/CSNK2B/PSMD1/C6/CACNA1B/COX6C/MAPK13/TUBAL3/PIK3R3/ATP5PD/PSMD2/ATP5MC1/NDUFV1/FYN/PRKACA/PSMD7/PSMA2/CSNK2A1/HSPA6/SDHC/ADRM1/PSMC5/MCU/CYCS/NDUFB4/NDUFB9/KIF5C/ATF6B/COX6B1/HSPA1B/VDAC3/SLC25A4/IL1B/NDUFS5/NDUFAB1/PIK3R2/COX6A1/PRKCD/DDIT3/NDUFB11/HSPA1L/MAPK3/MT-ND6/GRIN3B/SOD1/NCF4/NDUFA10/IL1A/UQCRQ/PSMA3/CACNA1C/PSMC2/MAPK10/COX5B/NDUFS1/COX5A/ATP5MC3/TUBA8/NDUFA12/ATP5F1C/HSPA1A/ITPR1/GRIN2C/GRIN2A/PSMD13/NDUFB10/NDUFA11/ATP5F1E/PSMB7/RYR2/MAPK11/MAPK12/MT-ND5/TUBB8B/PSMA7/ATF2/PSMA4/ATP5MC2/EIF2AK3/PSMD8/NDUFB3/RAC2/NDUFA9/UQCRC1/GSK3B/CREB5/NDUFB8/MAPK1/NDUFA8/NDUFS3/NDUFA7/COX8A/PSMC3/ATP5F1B/RAC1/PPP3CB/BAX/NDUFA1/PPP3CA/SLC25A5/CREB3L1/PSMC1/C9/CSNK2A3/VDAC2/PSMD9/CREB3/CREB3L3/C8A/HSPA8/RYR1/COX7B/PIK3CA/NDUFV3/NCAM2/COX7A2/MT-ND3/ATP5PF/NDUFB2/ITPR3/PSMB6/UQCRC2/UQCRFS1/CACNA1F/EIF2S1",196
"hsa05130","Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","147/5608","203/9447",0.724137931034483,1.21985218161247,3.82708181925148,6.24283634773573e-05,0.000698794907311064,0.000330690142698395,"TUBB3/CLDN5/TUBB1/CLDN6/PAK1/GAPDH/CLDN10/TUBB2B/WASF3/IRAK1/MYH10/IL6/MYO1C/CLDN12/MYO1B/BAIAP2L1/TLR4/TJP1/SEC24D/F2/LPAR2/CLDN3/CTTN/TUBB6/CASP3/TRAF2/CLDN18/MYH11/NCKAP1L/CLDN4/TUBB8/FOS/RHOA/WASF1/ACTR3B/JUN/MYO1F/NFKBIA/CLDN14/CLDN9/TUBA1A/TUBA1C/CYTH1/BAK1/WASF2/TUBB4A/SEC24A/CLDN2/TUBA4A/MYD88/PTPN6/CASP1/NHERF1/ARPC1A/ABCF2/TUBA3D/TUBB2A/TUBB/MYO1E/ARPC2/PAK3/CLDN11/TRAF6/MAPK13/TUBAL3/CLDN7/TNFRSF10A/IL1R1/FYN/FADD/CASP8/ARPC5L/SRC/ARHGEF2/CYCS/NLRP3/FCGR2A/NCL/IL1B/ARF1/MAPK3/TRADD/LPAR5/RAB1A/IKBKB/ROCK1/MAPK10/TUBA8/CLDN1/NCKAP1/HCLS1/TLR5/ARPC5/TNFSF10/MAPK11/MAPK12/MYH14/TUBB8B/TAB2/EZR/IRAK4/CLDN20/WIPF3/RIPK1/ARPC1B/TNFRSF10B/MYO6/NFKB1/MYH9/ACTG1/ACTR3/MAP3K7/F2R/CYFIP1/BAIAP2/FAS/MYO5B/ARHGEF12/MAPK1/ARPC3/CDC42/BRK1/RAC1/ACTR3C/IL18/PTPN11/LPAR4/TMED10/BAX/MYO5A/MYO1D/CASP7/SEC24C/PYCARD/GNA12/RPS3/WIPF1/ROCK2/CYTH2/CLDN16/WASL/CYTH4/CYFIP2/GNA13/TMBIM6/TAB1/MYO5C",147
"hsa05203","Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","148/5608","205/9447",0.721951219512195,1.21616853971678,3.78185918595513,7.57650141328225e-05,0.000821576872002794,0.000388794151471063,"CDC20/CCNA2/CHEK1/CCNE1/H2BC5/KAT2A/CDK1/H2BC9/H2BC6/HLA-E/CDKN2A/H2BC8/CCNE2/H2BC7/EGR2/H4C5/DNAJA3/CREB3L4/H2BC18/TRAF5/H2BC15/KAT2B/H4C8/H2BC17/STAT5B/SRF/H2BC4/H4C14/H4C12/HDAC1/IRF7/PIK3R1/POLB/SKP2/YWHAZ/H4C9/CASP3/TRAF2/EGR3/H2BC11/JAK3/RANBP1/PKM/CCR8/H4C3/PMAIP1/RHOA/H2BC12/SCRIB/JUN/RBL1/H2BC13/H4C4/H2BC14/NFKBIA/HDAC10/STAT5A/CCND2/CDKN2B/BAK1/IRF3/H4C11/CDKN1A/CDK4/GTF2E2/ATP6V0D1/H4C16/SND1/DDX3X/CREB3L2/SCIN/H2BC21/IRF9/CCR3/HDAC2/JAK1/IL6ST/HDAC8/PIK3R3/YWHAG/TRAF1/PRKACA/CHD4/GSN/GTF2H4/KRAS/CASP8/SRC/ATF6B/ATP6V0D2/CDK2/VDAC3/CCND3/LTBR/PIK3R2/RBL2/DDB1/HPN/MAPK3/TRADD/HDAC5/TP53/HDAC3/HDAC7/SP100/GRB2/RB1/GTF2H3/STAT3/CCNA1/YWHAB/GTF2E1/HDAC4/YWHAQ/ACTN4/ATF2/HNRNPK/NFKB1/SYK/MRPS18B/CREB5/MAPK1/HLA-C/PXN/H2BC26/CDC42/GTF2A2/MAD1L1/RAC1/EIF2AK2/YWHAH/BAX/LYN/EP300/CREB3L1/PSMC1/UBR4/CREB3/CREB3L3/HDAC9/CDKN1B/NRAS/HLA-B/PIK3CA/HDAC11/USP7/GTF2H2C/HRAS",148
"hsa05224","Human Diseases","Cancer: specific types","hsa05224","Breast cancer","110/5608","148/9447",0.743243243243243,1.25203618383005,3.73503388404351,8.98230136230302e-05,0.000944502597793682,0.000446966192191155,"DLL3/NOTCH4/WNT3A/E2F2/E2F3/WNT3/TNFSF11/GADD45B/FGF19/FZD4/FGF10/FGF2/BRCA1/FLT4/EGF/SHC3/PIK3R1/E2F1/PGR/NOTCH1/FOS/JUN/WNT9A/FGF5/HEYL/RPS6KB2/SHC1/WNT2B/FZD9/BRCA2/BAK1/CDKN1A/CDK4/HEY2/APC/WNT10A/WNT6/ERBB2/NCOA1/AKT3/DLL4/WNT7A/FGF20/FZD3/AXIN1/LEF1/RPS6KB1/DVL3/WNT16/PIK3R3/FZD5/NOTCH3/WNT2/WNT10B/KRAS/HEY1/WNT8B/AXIN2/MTOR/PIK3R2/MAPK3/WNT11/DVL1/WNT5B/FGF7/TP53/GRB2/RB1/FZD10/HES1/PTEN/WNT1/ESR1/WNT7B/GADD45G/FRAT1/DLL1/TCF7L2/FZD7/WNT9B/GSK3B/SOS2/MAPK1/GADD45A/FGF8/FGFR1/FZD8/FRAT2/TCF7L1/DVL2/BAX/AKT2/FZD6/FGF18/NCOA3/POLK/JAG1/LRP5/ARAF/EGFR/NRAS/PIK3CA/SHC2/RAF1/CTNNB1/MYC/ESR2/MAP2K2/HRAS/JAG2",110
"hsa04330","Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","51/5608","62/9447",0.82258064516129,1.38568462104827,3.68239138017523,9.69537397794222e-05,0.000989498461866456,0.000468259548160677,"KAT2A/DLL3/NOTCH4/MFNG/PTCRA/KAT2B/DTX2/HDAC1/NUMB/APH1B/NOTCH1/ATXN1L/HEYL/TLE4/PSEN2/HEY2/DLL4/CTBP2/LFNG/HDAC2/DVL3/NOTCH3/RFNG/APH1A/HEY1/PSENEN/NUMBL/TLE6/DVL1/MAML2/CTBP1/HES1/CIR1/TLE3/ITCH/MAML3/DLL1/DTX3L/NCSTN/TLE1/ADAM17/DVL2/DTX4/EP300/JAG1/SPEN/TLE2/NCOR2/ATXN1/DTX1/JAG2",51
"hsa04310","Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","127/5608","174/9447",0.729885057471264,1.22953354813321,3.69342752452839,0.000108522052172595,0.00106786889044712,0.000505346722007433,"LGR4/SOX17/WNT3A/WNT3/DKK2/CCN4/APCDD1L/RAC3/RSPO1/FZD4/PRICKLE2/ROR1/NFATC1/PPP3CC/PRICKLE1/NFATC4/CACYBP/RSPO4/RSPO2/RNF43/RHOA/JUN/RUVBL1/WNT9A/CAMK2A/MCC/CCND2/CAMK2B/SFRP5/WNT2B/FZD9/PRKCG/PRICKLE3/TLE4/NFATC3/MMP7/TBL1X/APC/WNT10A/NKD2/NKD1/WNT6/TBL1XR1/VANGL1/WNT7A/CTBP2/DKK1/FZD3/AXIN1/CSNK2B/LEF1/WIF1/DVL3/WNT16/FZD5/PRKACA/WNT2/CSNK2A1/WNT10B/SFRP2/SMAD4/WNT8B/AXIN2/DKK4/SFRP4/DAAM2/CCND3/PLCB1/WNT11/TLE6/DVL1/WNT5B/APCDD1/TP53/PRKCB/CTBP1/MAPK10/CSNK1E/NFATC2/BAMBI/FZD10/PORCN/CTNNBIP1/PLCB3/WNT1/SERPINF1/WNT7B/TLE3/CXXC4/ZNRF3/LZTS2/FRAT1/TCF7L2/ROR2/FZD7/RAC2/PLCB2/WNT9B/PPARD/TLE1/MAP3K7/GSK3B/SOST/FZD8/PLCB4/RAC1/PPP3CB/FRAT2/DAAM1/TCF7L1/CHD8/DVL2/PRICKLE4/PPP3CA/VANGL2/FZD6/EP300/CSNK2A3/CBY1/NLK/ROCK2/TLE2/LRP5/PRKCA/CTNNB1/MYC/SIRT1",127
"hsa04933","Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","78/5608","101/9447",0.772277227722772,1.30094560811288,3.67497784608038,0.000110815201635185,0.00106786889044712,0.000505346722007433,"PRKCE/AGER/THBD/TGFBR2/COL1A1/COL3A1/VEGFD/SELE/IL6/EDN1/NFATC1/STAT5B/EGR1/PLCE1/PIK3R1/AGT/CASP3/CCL2/JUN/NOX1/COL1A2/STAT5A/NOX4/CYBB/AGTR1/CDK4/AKT3/COL4A4/FOXO1/JAK2/COL4A3/MAPK13/PRKCZ/PIK3R3/STAT1/ICAM1/KRAS/PLCD1/TGFB2/SMAD4/IL1B/PIK3R2/PRKCD/PLCB1/MAPK3/PLCG2/IL1A/COL4A5/PRKCB/MAPK10/TGFB1/STAT3/PLCB3/MAPK11/MAPK12/DIAPH1/NFKB1/PLCB2/MAPK1/VCAM1/COL4A2/VEGFA/CDC42/PLCB4/SERPINE1/RAC1/COL4A6/BAX/AKT2/PLCD3/PRKCA/VEGFC/CDKN1B/NRAS/PIK3CA/PIM1/MMP2/HRAS",78
"hsa05226","Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","111/5608","150/9447",0.74,1.2465727532097,3.67907139390717,0.00011386498255488,0.00106786889044712,0.000505346722007433,"CCNE1/TERT/WNT3A/E2F2/TGFBR2/E2F3/WNT3/CDH17/REG4/CCNE2/GADD45B/GAB1/FGF19/FZD4/FGF10/FGF2/EGF/CDX2/SHC3/PIK3R1/FGFR2/E2F1/ABCB1/MUC2/CDH1/WNT9A/FGF5/RPS6KB2/RXRG/RXRA/CDKN2B/SHC1/WNT2B/FZD9/BAK1/CDKN1A/APC/WNT10A/WNT6/ERBB2/JUP/AKT3/WNT7A/FGF20/FZD3/AXIN1/LEF1/RPS6KB1/DVL3/WNT16/PIK3R3/FZD5/WNT2/MET/WNT10B/KRAS/TGFB2/SMAD4/WNT8B/AXIN2/CDK2/MTOR/PIK3R2/MAPK3/WNT11/DVL1/WNT5B/FGF7/TP53/TGFB1/GRB2/RB1/FZD10/HGF/WNT1/WNT7B/GADD45G/RARB/FRAT1/TCF7L2/FZD7/WNT9B/GSK3B/SOS2/MAPK1/GADD45A/FGF8/CTNNA2/FZD8/CTNNA3/FRAT2/TCF7L1/DVL2/BAX/AKT2/FZD6/FGF18/POLK/MLH1/LRP5/ARAF/CDKN1B/EGFR/NRAS/PIK3CA/SHC2/RAF1/CTNNB1/MYC/MAP2K2/HRAS",111
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","230/5608","333/9447",0.690690690690691,1.16350837285217,3.67135616594014,0.000122675561352646,0.00112022157340443,0.000530121539363236,"SPP1/CCNA2/CCNE1/NOTCH4/TERT/WNT3A/VWF/WNT3/TNR/COL1A1/PPP2R2C/THBS2/MFNG/ITGA11/IBSP/HLA-E/ATP6V1C2/ITGA8/CCNE2/TNXB/COL6A6/IKBKE/HES6/FZD4/CREB3L4/PTGER4/COMP/PPP2CB/LAMB2/TUBG1/MX2/EGF/HDAC1/PIK3R1/DLG3/LAMC3/E2F1/CASP3/MAGI1/COL9A2/NOTCH1/EIF4EBP1/PKM/PPP2R3B/SCRIB/RBL1/ITGB4/ATP6V1B2/WNT9A/HEYL/RPS6KB2/PARD6B/COL1A2/CCND2/COL9A3/ITGA2/WNT2B/FZD9/PPP2R5A/BAK1/COL2A1/COL6A3/IRF3/CDKN1A/ITGAV/ISG15/CDK4/HEY2/COL9A1/STAT2/LAMA4/COL6A5/APC/WNT10A/NHERF1/ATP6V0D1/WNT6/PALS1/THBS3/TNC/ATR/CREB3L2/AKT3/WNT7A/ATP6V0A4/COL4A4/FOXO1/LFNG/FZD3/IRF9/HES7/AXIN1/COL4A3/RHEB/HDAC2/RPS6KB1/ATP6V1E2/JAK1/DVL3/PRKCZ/WNT16/PIK3R3/FZD5/ITGA1/STAT1/LAMB3/THBS4/PRKACA/FADD/CHD4/NOTCH3/ITGB8/WNT2/WNT10B/KRAS/CASP8/RFNG/OASL/ITGA10/PPP2R5B/HEY1/ATP6V0D2/PTK2/WNT8B/AXIN2/CDK2/MTOR/CCND3/ATP6V0A1/PIK3R2/RBL2/HES4/LAMA2/ITGB3/CHAD/MAPK3/IRF1/WNT11/DVL1/TRADD/WNT5B/PPP2R3A/COL4A5/PPP2R1B/TP53/IKBKB/MAML2/THBS1/ATP6V1E1/GRB2/RB1/FZD10/ITGA5/HES1/PTEN/TSC2/LLGL1/CCNA1/TLR3/ATP6V1C1/PPP2R5E/LAMC2/WNT1/GNAS/WNT7B/ITGA9/MAML3/LAMB4/ATP6V0E2/LAMA3/IFNAR2/TCF7L2/NFKB1/FZD7/MX1/LLGL2/WNT9B/TYK2/FAS/GSK3B/LAMA1/CREB5/SOS2/MAPK1/TBK1/BCAP31/RELN/COL4A2/TICAM1/HLA-C/PXN/FZD8/VEGFA/CDC42/EIF2AK2/TCF7L1/DVL2/COL4A6/BAX/PPP2R2D/AKT2/ITGB5/VTN/PARD3/FZD6/EP300/CREB3L1/PSMC1/PPP2R5D/JAG1/UBR4/CREB3/ITGA4/CREB3L3/ATP6V1B1/PPP2R5C/ATP6AP1/CDKN1B/EGFR/NRAS/HLA-B/PIK3CA/COL6A1/RAF1/CTNNB1/ATM/ITGB7/TSC1/MAP2K2/HRAS",230
"hsa04919","Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","92/5608","122/9447",0.754098360655738,1.27032225626155,3.6320867748826,0.000135917190731778,0.00120931449189556,0.000572282908344329,"SLC2A1/KAT2A/RCAN1/NOTCH4/PFKP/KAT2B/DIO2/ATP1A2/PLCE1/ATP2A1/HDAC1/THRA/PIK3R1/TBC1D4/ATP1B2/NOTCH1/ATP2A2/MED14/MYH6/RXRG/ATP1B1/RXRA/PRKCG/ITGAV/NCOA1/AKT3/FOXO1/THRB/RHEB/HDAC2/MYH7/PIK3R3/STAT1/PRKACA/NOTCH3/HIF1A/KRAS/ATP1A3/SRC/PLCD1/ATP1B3/MED12L/PLCZ1/MTOR/SLC16A10/PIK3R2/ITGB3/PLCB1/MAPK3/PLN/PFKFB2/PLCG2/TP53/PRKCB/HDAC3/DIO1/TSC2/PLCB3/ESR1/MED17/GATA4/NCOA2/MED1/ATP2A3/PFKL/ACTG1/PLCB2/SLC9A1/RCAN2/GSK3B/MAPK1/ATP1A1/PLCB4/MED13/PDPK1/AKT2/EP300/PLCD3/ATP1A4/NCOA3/FXYD2/NCOR1/PRKCA/NRAS/PIK3CA/MED27/RAF1/CTNNB1/MYC/MAP2K2/HRAS/DIO3",92
"hsa04072","Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","110/5608","149/9447",0.738255033557047,1.24363325642179,3.62287917557994,0.00014367917242131,0.00124641682075487,0.000589840813098011,"PLPP2/PLPP3/ADCY4/RAPGEF4/CXCR2/GAB1/CXCR1/PLA2G4F/PIP5K1B/MRAS/PDGFB/RRAS/PLA2G4A/F2/LPAR2/EGF/SHC3/PIK3R1/AGT/DGKI/AVPR2/PIK3R5/GAB2/ADCY9/AVPR1B/MS4A2/RHOA/FCER1G/DGKA/GRM4/AGPAT4/CYTH1/SHC1/AGTR1/ADCY8/DNM1/GRM3/AKT3/PTK2B/PLA2G4C/RHEB/PLA2G4D/PIK3R3/FYN/KRAS/PIP5K1A/RAPGEF3/AGPAT5/RALA/DGKK/MTOR/PIK3R2/ARF1/PLCB1/MAPK3/PLCG2/LPAR5/GRM2/PIP5K1C/PDGFA/PTGFR/GRB2/DNM2/DGKQ/TSC2/PIK3CG/PLCB3/GNAS/DGKB/DNM3/SYK/PLCB2/F2R/PDGFC/SOS2/MAPK1/FCER1A/PLCB4/ADCY7/SPHK1/PDGFD/PTPN11/LPAR4/AKT2/DGKZ/PLD1/GNA12/RRAS2/CYTH2/DGKE/PRKCA/CYTH4/PDGFRA/DGKG/EGFR/NRAS/INSR/PIK3CA/GRM1/GNA13/LPAR6/GRM6/SHC2/RAF1/RALB/PLPP1/AVPR1A/TSC1/MAP2K2/HRAS",110
"hsa05146","Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","79/5608","103/9447",0.766990291262136,1.29203945819426,3.60174240091077,0.000151481611719925,0.00128205168943449,0.000606704272870561,"COL1A1/GNAQ/COL3A1/IL6/CXCL2/TLR4/LAMB2/PIK3R1/LAMC3/MUC2/CASP3/SERPINB4/GNA11/COL1A2/CXCL3/PRKCG/CTSG/C8B/LAMA4/SERPINB6/COL4A4/C8G/COL4A3/ARG2/PIK3R3/IL1R1/LAMB3/PRKACA/VCL/ITGAM/ARG1/HSPB1/RAB5B/TGFB2/PTK2/IL1B/PIK3R2/CD1A/LAMA2/PLCB1/SERPINB3/COL4A5/IFNG/PRKCB/TGFB1/PRDX1/ITGB2/IL12B/PLCB3/LAMC2/GNAS/RAB7A/ACTN4/IL12A/LAMB4/LAMA3/NFKB1/SERPINB9/PLCB2/TLR2/LAMA1/SERPINB13/COL4A2/RAB5A/PLCB4/IL1R2/RAB5C/SERPINB10/COL4A6/CD14/CXCL1/CD1D/C9/C8A/CD1C/PRKCA/NOS2/PIK3CA/CSF2",79
